State,"June
2025"
Alabama,3.2
Alaska,4.7
Arizona,4.1
Arkansas,3.7
California,5.4
Colorado,4.7
Connecticut,3.8
Delaware,4
District of Columbia,5.9
Florida,3.7
Georgia,3.5
Hawaii,2.8
Idaho,3.6
Illinois,4.6
Indiana,3.6
Iowa,3.7
Kansas,3.8
Kentucky,4.9
Louisiana,4.5
Maine,3.3
Maryland,3.3
Massachusetts,4.8
Michigan,5.3
Minnesota,3.3
Mississippi,4
Missouri,4
Montana,2.8
Nebraska,3
Nevada,5.4
New Hampshire,3.1
New Jersey,4.9
New Mexico,4.2
New York,4
North Carolina,3.7
North Dakota,2.5
Ohio,4.9
Oklahoma,3.1
Oregon,4.9
Pennsylvania,4
Puerto Rico,5.5
Rhode Island,4.8
South Carolina,4.1
South Dakota,1.8
Tennessee,3.5
Texas,4
Utah,3.2
Vermont,2.6
Virginia,3.5
Washington,4.5
West Virginia,3.7
Wisconsin,3.2
Wyoming,3.3
